Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
ES # Spanish,HE # Hebrew,C1,0.002090335,0.036913265,0.32143146205646206
ES # Spanish,HI # Hindi,C1,0.0007057786,0.025634617,0.22491235616235616
ES # Spanish,IT # Italian,C1,0.00056397915,0.021234844,0.20441664816664817
ES # Spanish,JA # Japanese,C1,0.0011993647,0.026231738,0.24214049839049837
ES # Spanish,KO # Korean,C1,0.00045394897,0.021736605,0.2042078292078292
ES # Spanish,LV # Latvian,C1,0.0009788871,0.022822952,0.21596690346690345
ES # Spanish,PL # Polish,C1,0.0009784102,0.026205016,0.2434417434417434
ES # Spanish,PS # Pashto,C1,0.0006940365,0.021978961,0.2116594054094054
ES # Spanish,PT # Portuguese,C1,0.00055760145,0.020996137,0.19969151219151218
ES # Spanish,RU # Russian,C1,0.0024878383,0.034013983,0.28395936851819203
ES # Spanish,SQ # Albanian,C1,0.00046932697,0.019583652,0.19854451104451104
ES # Spanish,SW # Swahili,C1,0.0004338622,0.019299833,0.18099724349724347
ES # Spanish,TH # Thai,C1,0.0019355416,0.029797962,0.2704916611166611
ES # Spanish,TR # Turkish,C1,0.0005824566,0.023493992,0.20807202057202057
ES # Spanish,UR # Urdu,C1,0.0005760193,0.021870784,0.22127409627409628
ES # Spanish,VI # Vietnamese,C1,0.00065267086,0.022084586,0.21724802974802973
ES # Spanish,ZH # Mandarin,C1,0.0005506873,0.019261355,0.19740675990675988
FA # Persian,FR # French,C1,0.0008010268,0.022961853,0.2169196544196544
FA # Persian,GA # Irish,C1,0.002995789,0.04180061,0.34041550769491946
FA # Persian,HE # Hebrew,C1,0.0017444491,0.035393637,0.31392565767565767
FA # Persian,HI # Hindi,C1,0.0005905628,0.025471246,0.23345473970473968
FA # Persian,IT # Italian,C1,0.00045526028,0.021686167,0.20542489917489914
FA # Persian,JA # Japanese,C1,0.001085341,0.027592424,0.25874888999889
FA # Persian,KO # Korean,C1,0.00043559074,0.021377467,0.19835719835719834
FA # Persian,LV # Latvian,C1,0.00071161985,0.023261428,0.22239172864172863
FA # Persian,PL # Polish,C1,0.0007016063,0.025142545,0.22462317774817775
FA # Persian,PS # Pashto,C1,0.0004605055,0.020225167,0.19438038813038813
FA # Persian,PT # Portuguese,C1,0.00037807226,0.020283507,0.19873714248714247
FA # Persian,RU # Russian,C1,0.0021033883,0.034063995,0.2836973416017534
FA # Persian,SQ # Albanian,C1,0.0004066825,0.01696053,0.17106042106042105
FA # Persian,SW # Swahili,C1,0.00043225288,0.020798888,0.1951821326821327
FA # Persian,TH # Thai,C1,0.001571238,0.029312823,0.26871739371739367
FA # Persian,TR # Turkish,C1,0.000561893,0.020845877,0.19041375291375293
FA # Persian,UR # Urdu,C1,0.0005084276,0.020949239,0.20627058127058126
FA # Persian,VI # Vietnamese,C1,0.00039494038,0.019272245,0.19527463277463275
FA # Persian,ZH # Mandarin,C1,0.00040972233,0.01924997,0.18499555999556
FR # French,GA # Irish,C1,0.0019788742,0.031409893,0.280361420986421
FR # French,HE # Hebrew,C1,0.0014947057,0.029932788,0.28431522181522184
FR # French,HI # Hindi,C1,0.0011174083,0.026026135,0.24260993635993636
FR # French,IT # Italian,C1,0.0008946657,0.023115452,0.21940628815628815
FR # French,JA # Japanese,C1,0.0006853938,0.020027462,0.1942993349243349
FR # French,KO # Korean,C1,0.0010212064,0.023668809,0.2278728216228216
FR # French,LV # Latvian,C1,0.0006752014,0.018790111,0.18516899766899766
FR # French,PL # Polish,C1,0.00072932243,0.023622598,0.22253672253672255
