Category1,Category2,DistanceType,EffectSize,Category1Mean,Category2Mean,Category1Count,Category2Count
Human Roles,Neutral Animals,Jaccard,0.27510044131900396,0.2317514409905714,0.19308429091037785,3312,3312
Plants,Social Relationships,Jaccard,-0.2749301853419974,0.204923096227444,0.24649219126520916,3312,3312
Abstract Concepts,Inanimate Objects,Jaccard,0.2663789698929181,0.2533411133954612,0.2091602037254211,3312,3312
Food Items,Plants,Jaccard,-0.2642950620308711,0.1650837085619694,0.204923096227444,3312,3312
Cultural Artifacts,Environmental Phenomena,Jaccard,0.2578323052419734,0.21575857717162067,0.1741506279549758,3312,3312
Inanimate Objects,Social Relationships,Jaccard,-0.24647956808956825,0.2091602037254211,0.24649219126520916,3312,3312
Neutral Animals,Time Concepts,Jaccard,-0.23974644293578176,0.19308429091037785,0.23121383447470403,3312,3312
Environmental Phenomena,Inanimate Objects,Jaccard,-0.2229273184809827,0.1741506279549758,0.2091602037254211,3312,3312
Abstract Concepts,Cultural Artifacts,Jaccard,0.22112038661510203,0.2533411133954612,0.21575857717162067,3312,3312
Neutral Animals,Places,Jaccard,-0.21478366988380984,0.19308429091037785,0.22486320040667868,3312,3312
Cultural Artifacts,Social Relationships,Jaccard,-0.19707710169472653,0.21575857717162067,0.24649219126520916,3312,3312
Environmental Phenomena,Plants,Jaccard,-0.19626289685367684,0.1741506279549758,0.204923096227444,3312,3312
Food Items,Neutral Animals,Jaccard,-0.19293026459850535,0.1650837085619694,0.19308429091037785,3312,3312
Human Roles,Plants,Jaccard,0.18333260567125012,0.2317514409905714,0.204923096227444,3312,3312
Abstract Concepts,Places,Jaccard,0.17248544396915652,0.2533411133954612,0.22486320040667868,3312,3312
Plants,Time Concepts,Jaccard,-0.16014134210321876,0.204923096227444,0.23121383447470403,3312,3312
Human Roles,Inanimate Objects,Jaccard,0.15409306731380834,0.2317514409905714,0.2091602037254211,3312,3312
Cultural Artifacts,Neutral Animals,Jaccard,0.1478471680380959,0.21575857717162067,0.19308429091037785,3312,3312
Places,Social Relationships,Jaccard,-0.1435857490236666,0.22486320040667868,0.24649219126520916,3312,3312
Abstract Concepts,Human Roles,Jaccard,0.13620845576349222,0.2533411133954612,0.2317514409905714,3312,3312
Inanimate Objects,Time Concepts,Jaccard,-0.13413519100498694,0.2091602037254211,0.23121383447470403,3312,3312
Places,Plants,Jaccard,0.1299370376478775,0.22486320040667868,0.204923096227444,3312,3312
Abstract Concepts,Time Concepts,Jaccard,0.12636595028472394,0.2533411133954612,0.23121383447470403,3312,3312
Environmental Phenomena,Neutral Animals,Jaccard,-0.1250479397738908,0.1741506279549758,0.19308429091037785,3312,3312
Inanimate Objects,Neutral Animals,Jaccard,0.10803796754940333,0.2091602037254211,0.19308429091037785,3312,3312
Cultural Artifacts,Human Roles,Jaccard,-0.10574622343142029,0.21575857717162067,0.2317514409905714,3312,3312
Human Roles,Social Relationships,Jaccard,-0.10281496140537717,0.2317514409905714,0.24649219126520916,3312,3312
Inanimate Objects,Places,Jaccard,-0.10215461581488017,0.2091602037254211,0.22486320040667868,3312,3312
Social Relationships,Time Concepts,Jaccard,0.09458264405909139,0.24649219126520916,0.23121383447470403,3312,3312
Cultural Artifacts,Time Concepts,Jaccard,-0.091692430088028,0.21575857717162067,0.23121383447470403,3312,3312
Neutral Animals,Plants,Jaccard,-0.07970542518602786,0.19308429091037785,0.204923096227444,3312,3312
Cultural Artifacts,Plants,Jaccard,0.06828610527032407,0.21575857717162067,0.204923096227444,3312,3312
Environmental Phenomena,Food Items,Jaccard,0.05903857678467041,0.1741506279549758,0.1650837085619694,3312,3312
Cultural Artifacts,Places,Jaccard,-0.05757307664052083,0.21575857717162067,0.22486320040667868,3312,3312
Human Roles,Places,Jaccard,0.04725931823956818,0.2317514409905714,0.22486320040667868,3312,3312
Abstract Concepts,Social Relationships,Jaccard,0.04201693258541438,0.2533411133954612,0.24649219126520916,3312,3312
Cultural Artifacts,Inanimate Objects,Jaccard,0.0415181613104004,0.21575857717162067,0.2091602037254211,3312,3312
Places,Time Concepts,Jaccard,-0.038805546796297205,0.22486320040667868,0.23121383447470403,3312,3312
Inanimate Objects,Plants,Jaccard,0.02746540109537987,0.2091602037254211,0.204923096227444,3312,3312
Human Roles,Time Concepts,Jaccard,0.003424394899378853,0.2317514409905714,0.23121383447470403,3312,3312
