Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
ES # Spanish,SQ # Albanian,B1,0.0018023849,0.027464993,0.25429200429200427
ES # Spanish,SW # Swahili,B1,0.0014582276,0.023756672,0.23439754689754688
ES # Spanish,TH # Thai,B1,0.0073496103,0.044999164,0.33648425376366553
ES # Spanish,TR # Turkish,B1,0.0039396286,0.03570104,0.3028661153661154
ES # Spanish,UR # Urdu,B1,0.0018055439,0.028071148,0.2662106412106412
ES # Spanish,VI # Vietnamese,B1,0.0025578737,0.030555986,0.28675491175491175
ES # Spanish,ZH # Mandarin,B1,0.0013250709,0.028009597,0.2688191438191438
FA # Persian,FR # French,B1,0.0032218695,0.030858304,0.2563154438154438
FA # Persian,GA # Irish,B1,0.0028495193,0.03428606,0.31072631072631074
FA # Persian,HE # Hebrew,B1,0.0019363165,0.033299915,0.2820674695674696
FA # Persian,HI # Hindi,B1,0.0017846823,0.029374875,0.26972564472564475
FA # Persian,IT # Italian,B1,0.0020765066,0.03278842,0.27448246198246196
FA # Persian,JA # Japanese,B1,0.002183795,0.0285782,0.26321016946016945
FA # Persian,KO # Korean,B1,0.0023741722,0.031795304,0.2839076432826433
FA # Persian,LV # Latvian,B1,0.001914978,0.03355759,0.29733460983460985
FA # Persian,PL # Polish,B1,0.0017434955,0.028337535,0.2523009398009398
FA # Persian,PS # Pashto,B1,0.0018664598,0.03469941,0.30005989380989384
FA # Persian,PT # Portuguese,B1,0.0031670928,0.034272704,0.2982249232249232
FA # Persian,RU # Russian,B1,0.002583146,0.03203298,0.29358604358604357
FA # Persian,SQ # Albanian,B1,0.001829803,0.029028395,0.26830576830576836
FA # Persian,SW # Swahili,B1,0.0010156631,0.02619452,0.24457024457024457
FA # Persian,TH # Thai,B1,0.0040991306,0.04312685,0.3315342065342065
FA # Persian,TR # Turkish,B1,0.002034545,0.03236653,0.2887112887112887
FA # Persian,UR # Urdu,B1,0.001321137,0.025485048,0.23775067525067525
FA # Persian,VI # Vietnamese,B1,0.0016602874,0.030958805,0.2782778564028564
FA # Persian,ZH # Mandarin,B1,0.0013471842,0.027443008,0.24308099308099307
FR # French,GA # Irish,B1,0.006847143,0.04507225,0.35851417101417105
FR # French,HE # Hebrew,B1,0.0060319304,0.040874645,0.28627982855924033
FR # French,HI # Hindi,B1,0.0052449703,0.038441077,0.30247009934509933
FR # French,IT # Italian,B1,0.006169319,0.039382454,0.2913736930281048
FR # French,JA # Japanese,B1,0.0041050315,0.03227599,0.25508750508750505
FR # French,KO # Korean,B1,0.0051341653,0.039399948,0.29144524457024457
FR # French,LV # Latvian,B1,0.005619645,0.036343437,0.2663154179698297
FR # French,PL # Polish,B1,0.0032520294,0.029348992,0.24018574018574018
FR # French,PS # Pashto,B1,0.005922675,0.042026095,0.3116929366929367
FR # French,PT # Portuguese,B1,0.0050985217,0.030440139,0.2375263625263625
FR # French,RU # Russian,B1,0.006532192,0.036893904,0.28793949106449107
FR # French,SQ # Albanian,B1,0.0034103394,0.034361556,0.2694666444666445
FR # French,SW # Swahili,B1,0.0026314855,0.028510528,0.24412624412624412
FR # French,TH # Thai,B1,0.0097875,0.054303616,0.3635875517002968
FR # French,TR # Turkish,B1,0.006313622,0.035627466,0.276038776038776
FR # French,UR # Urdu,B1,0.001678884,0.024932057,0.2196160321160321
FR # French,VI # Vietnamese,B1,0.0037155151,0.035323422,0.2896108521108521
FR # French,ZH # Mandarin,B1,0.0025740266,0.02839955,0.25507594257594257
GA # Irish,HE # Hebrew,B1,0.0019624233,0.029729983,0.2846667221667222
GA # Irish,HI # Hindi,B1,0.0027786493,0.03195911,0.30010325322825326
GA # Irish,IT # Italian,B1,0.0021200776,0.03558661,0.3277879527879528
GA # Irish,JA # Japanese,B1,0.0019336939,0.032925505,0.3034222721722722
GA # Irish,KO # Korean,B1,0.0034723878,0.039572194,0.3302692677692678
GA # Irish,LV # Latvian,B1,0.0020269752,0.03180478,0.3022602397602398
GA # Irish,PL # Polish,B1,0.0032761693,0.036899727,0.3314284095534095
GA # Irish,PS # Pashto,B1,0.0015352368,0.033906892,0.3266606079106079
GA # Irish,PT # Portuguese,B1,0.0025357008,0.041880578,0.3596149221149221
GA # Irish,RU # Russian,B1,0.0028505921,0.035647683,0.32222175972175976
GA # Irish,SQ # Albanian,B1,0.0029790401,0.03043583,0.284877738002738
GA # Irish,SW # Swahili,B1,0.003923714,0.03347503,0.3031019906019906
GA # Irish,TH # Thai,B1,0.0035625696,0.043246157,0.36134178321678323
GA # Irish,TR # Turkish,B1,0.0019097328,0.03463802,0.32803076553076554
GA # Irish,UR # Urdu,B1,0.00435102,0.038252443,0.33187240999741
GA # Irish,VI # Vietnamese,B1,0.0037990808,0.04265601,0.3440182502682503
GA # Irish,ZH # Mandarin,B1,0.0026292205,0.0362057,0.3190836940836941
HE # Hebrew,HI # Hindi,B1,0.00083220005,0.020534936,0.19972619972619973
HE # Hebrew,IT # Italian,B1,0.00050354004,0.017425038,0.16844960594960592
HE # Hebrew,JA # Japanese,B1,0.0013524294,0.029559873,0.243583520237932
HE # Hebrew,KO # Korean,B1,0.0014103651,0.032106582,0.24809752475193653
HE # Hebrew,LV # Latvian,B1,0.0005837679,0.015087709,0.16185897435897434
HE # Hebrew,PL # Polish,B1,0.0018783808,0.029333552,0.2257980649524767
HE # Hebrew,PS # Pashto,B1,0.0007710457,0.024813531,0.22884754134754134
HE # Hebrew,PT # Portuguese,B1,0.0028609037,0.034536663,0.26705541870983046
HE # Hebrew,RU # Russian,B1,0.0009762645,0.022118026,0.21748852998852997
HE # Hebrew,SQ # Albanian,B1,0.0014490485,0.023472257,0.19454922120363294
HE # Hebrew,SW # Swahili,B1,0.0023578405,0.029758684,0.23644526769526766
HE # Hebrew,TH # Thai,B1,0.0017819405,0.025725354,0.22675703925703924
HE # Hebrew,TR # Turkish,B1,0.00063604116,0.022078143,0.20187740500240497
HE # Hebrew,UR # Urdu,B1,0.0032693148,0.03233551,0.2505093286343286
HE # Hebrew,VI # Vietnamese,B1,0.0017598867,0.033843186,0.2573739917489917
HE # Hebrew,ZH # Mandarin,B1,0.0017515421,0.03041232,0.254093843248255
HI # Hindi,IT # Italian,B1,0.0011502504,0.023065034,0.22955747955747954
HI # Hindi,JA # Japanese,B1,0.0009781718,0.02548484,0.225236568986569
HI # Hindi,KO # Korean,B1,0.0015650392,0.032605246,0.2661354848854849
HI # Hindi,LV # Latvian,B1,0.0014138222,0.022551086,0.22384328634328632
HI # Hindi,PL # Polish,B1,0.0014488697,0.030687442,0.26362873237873236
HI # Hindi,PS # Pashto,B1,0.0013820529,0.028342664,0.25186387686387685
HI # Hindi,PT # Portuguese,B1,0.00402689,0.03795191,0.30803064718505896
HI # Hindi,RU # Russian,B1,0.0012805462,0.024035677,0.24704693454693455
HI # Hindi,SQ # Albanian,B1,0.001100421,0.02628038,0.23130457505457505
HI # Hindi,SW # Swahili,B1,0.0014394522,0.02855871,0.25385494135494135
HI # Hindi,TH # Thai,B1,0.002882123,0.03278085,0.2718514124764125
HI # Hindi,TR # Turkish,B1,0.0015069246,0.02745689,0.25038387538387535
HI # Hindi,UR # Urdu,B1,0.002562821,0.030276146,0.25487012987012986
